model,class,precision,recall,f1,support,processing_time
XGBoost,Fall,0.9185174050721168,0.97,0.9435569728158584,335,0.008
XGBoost,Non-Fall,0.9895397489539749,0.9702564102564103,0.979803210771621,975,0.42
XGBoost,accuracy,0.9702290076335878,0.9702290076335878,0.9702290076335878,1310,0.428
SVM-RBF,Fall,0.8943552473020172,0.97,0.9306430103794714,335,0.045
SVM-RBF,Non-Fall,0.989440337909187,0.961025641025641,0.9750260145681582,975,2.15
SVM-RBF,accuracy,0.9633587786259542,0.9633587786259542,0.9633587786259542,1310,2.195
RF,Fall,0.935,0.9491056024255328,0.9419999994962568,335,0.006
RF,Non-Fall,0.9824742268041237,0.9774358974358974,0.9799485861182519,975,0.37
RF,accuracy,0.9702290076335878,0.9702290076335878,0.9702290076335878,1310,0.376
kNN,Fall,0.9158551061026972,0.9692269455964104,0.9417854743210738,335,0.021
kNN,Non-Fall,0.9895287958115183,0.9692307692307692,0.9792746113989638,975,0.98
kNN,accuracy,0.9694656488549618,0.9694656488549618,0.9694656488549618,1310,1.001
