alpha,beta,precision,recall,f1
0.9,0.1,0.888,0.9123287660818166,0.8999999994932434
0.89,0.11,0.8926596559379305,0.9144905513098126,0.9034432418697057
0.88,0.12,0.897645517960399,0.9156023285942038,0.9065350090539228
0.87,0.13,0.8997443395077546,0.9182024847110094,0.9088797066390664
0.86,0.14,0.900655264631953,0.9230429140331229,0.9117116743667357
0.85,0.15,0.903,0.9273232312824655,0.9149999994933554
0.84,0.16,0.9058425389048482,0.9289400282051166,0.9172459001124046
0.83,0.17,0.9074589822302083,0.9296672462104899,0.9184288809321344
0.82,0.18,0.9093525047998114,0.9328165724233105,0.9209351054036521
0.81,0.19,0.9136098991336332,0.9381045083218156,0.9256951955160732
0.8,0.2,0.918,0.9423178797546161,0.9299999994934641
0.79,0.21,0.9165005276868814,0.940166525729415,0.9281826974406393
0.78,0.22,0.9128126726091911,0.9379580688191755,0.9252145524338844
0.77,0.23,0.9127684582644741,0.937336209268917,0.9248892147821298
0.76,0.24,0.9175826616509472,0.9371374682414173,0.9272569791882214
0.75,0.25,0.921,0.9361231516845944,0.9284999994959284
0.74,0.26,0.9186033172962946,0.9352212211951796,0.9268377868111111
0.73,0.27,0.914220525642505,0.9352826646919379,0.9246316673661623
0.72,0.28,0.9150149412838938,0.934789541239488,0.9247965450091684
0.71,0.29,0.9206191627722728,0.9323697687425819,0.9264572079146196
0.7,0.3,0.924,0.9300195429641482,0.9269999994983766
0.69,0.31,0.9227565326885978,0.9335208825858932,0.928107496992824
0.68,0.32,0.9207156365890351,0.9385904355506018,0.929567114649267
0.67,0.33,0.9226853956763553,0.9409006570955769,0.9317040056111869
0.66,0.34,0.9270244463194298,0.9396904740586857,0.9333144894448535
0.65,0.35,0.9295,0.9395540822719805,0.9344999994973103
0.64,0.36,0.929970558864988,0.9435977079917423,0.9367345758017209
0.63,0.37,0.93101399392958,0.949005314432442,0.9399235679339184
0.62,0.38,0.9330709651043956,0.9507215740242385,0.9418135789312537
0.61,0.39,0.9343360668404278,0.9491112738723905,0.9416657163223041
0.6,0.4,0.935,0.9491056024255327,0.9419999994962567
0.59,0.41,0.9346990013230312,0.9477282579963776,0.9411685385337074
0.58,0.42,0.9356382470362331,0.9467326406075552,0.9411527495294135
0.57,0.43,0.9347689989908472,0.9430680951742814,0.9389002081654996
0.56,0.44,0.9312794101293067,0.9381423162552551,0.9346982658527323
0.55,0.45,0.9285000000000001,0.9345194479367699,0.9314999994983846
0.54,0.46,0.9287159447431567,0.9316437561580037,0.9301775465736265
0.53,0.47,0.9297680208996634,0.9278436008660931,0.9288048140672838
0.52,0.48,0.9281464485346614,0.9239866597509054,0.9260618828147217
0.51,0.49,0.9244595166742248,0.921869453635183,0.9231626684615106
0.5,0.5,0.922,0.9200021658504852,0.9209999995005422
0.49,0.51,0.9221037301112259,0.9179155448673826,0.9200048709915085
0.48,0.52,0.9219557513487832,0.9139232708726733,0.9179219389445293
0.47,0.53,0.9205887325406884,0.9128356457484937,0.9166957962255488
0.46,0.54,0.9194517845789314,0.9159478151133775,0.917696455124379
0.45,0.55,0.919,0.9180005427754209,0.9184999995002722
0.44,0.56,0.9176847366303036,0.9148437917925663,0.9162620620717559
0.43,0.57,0.9152128682756799,0.909631234504362,0.9124135151442371
0.42,0.58,0.9140208821864357,0.909160343365268,0.9115841337606829
0.41,0.59,0.9152275449788484,0.9135646140695658,0.9143953234680322
0.4,0.6,0.916,0.9159999990000001,0.9159999995
0.39,0.61,0.9138095206722587,0.912770857169959,0.9132898936092014
0.38,0.62,0.9104813200940411,0.9082507947025994,0.9093646896203278
0.37,0.63,0.9099645107105674,0.9082397759048328,0.9091013252725179
0.36,0.64,0.9121034488795987,0.9116281234366844,0.9118657242152877
0.35,0.65,0.913,0.9129999990000002,0.9129999995000001
0.34,0.66,0.9112518946647301,0.9110463239685379,0.9111490977215749
0.33,0.67,0.9094047237691085,0.9091071516703602,0.9092559133731367
0.32,0.68,0.9095909539010606,0.9094680115719461,0.9095294785819331
0.31,0.69,0.9103277839856374,0.9103185943841053,0.9103231891616794
0.3,0.7,0.91,0.9099999990000001,0.9099999995
0.29,0.71,0.9098610481153535,0.9090459101648906,0.9094532964892516
0.28,0.72,0.9110541324133751,0.9093123517063563,0.9101824087661148
0.27,0.73,0.9114697978851262,0.9087778721568867,0.9101218445050329
0.26,0.74,0.9091917572885766,0.9058153536740692,0.9075004149698342
0.25,0.75,0.907,0.903008799886679,0.9049999995011027
0.24,0.76,0.9086459133723754,0.9035078788899712,0.9060696121472048
0.23,0.77,0.912513791065349,0.905760411507684,0.9091245596865242
0.22,0.78,0.9124984838589693,0.9047265903412974,0.9085959177144262
0.21,0.79,0.9074964873575321,0.8997271490937055,0.9035951178527818
0.2,0.8,0.904,0.896035241303926,0.8999999995022124
0.19,0.81,0.9026366102368272,0.8921800317313738,0.897377861038643
0.18,0.82,0.9032341197666862,0.8897331581050941,0.8964328081237395
0.17,0.83,0.8985860562996948,0.883282606206932,0.890868614966342
0.16,0.84,0.8891599559664966,0.8733492972703776,0.8811837115500634
0.15,0.85,0.882,0.8651622674169993,0.8734999995048187
0.14,0.86,0.879874682270375,0.8606180651022468,0.8701398471565913
0.13,0.87,0.8784274464656053,0.8565079536890055,0.8673292326267188
0.12,0.88,0.8730771999383887,0.8496405143532959,0.861199435138784
0.11,0.89,0.8656161745784448,0.8413590703169164,0.8533152687158633
0.1,0.9,0.86,0.8343871697200604,0.8469999995075581
